dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_n_clusters,julia_n_clusters,python_n_noise,julia_n_noise,python_death_ari,python_death_nmi,python_hospitalized_ari,python_hospitalized_nmi,julia_death_ari,julia_death_nmi,julia_hospitalized_ari,julia_hospitalized_nmi,python_exitus_ari,python_exitus_nmi,julia_exitus_ari,julia_exitus_nmi,python_outcome_ari,python_outcome_nmi,julia_outcome_ari,julia_outcome_nmi,python_mortality_ari,python_mortality_nmi,julia_mortality_ari,julia_mortality_nmi,python_insulin_regimen_ari,python_insulin_regimen_nmi,julia_insulin_regimen_ari,julia_insulin_regimen_nmi
circles,0.00800509999680790000631258607200,5.37599992752075195312500000000000,-0.01281397935054526607268066129564,-0.01281397935054526607268066129564,False,True,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
moons,0.00787990000389979933226314301464,0.02999997138977050087360609609277,0.53469983604387483211439757724293,0.53469983604387483211439757724293,True,True,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
varied,0.00597490000654939991397984755395,0.02600002288818350007493229725242,0.07704437304158485988470062011402,0.07704437304158485988470062011402,False,True,3,3,45,45,,,,,,,,,,,,,,,,,,,,,,,,
aniso,0.00648689999070480027842933168358,0.02699995040893549830274267264940,0.13115431510850070195850491927558,0.13115431510850070195850491927558,False,True,3,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,
blobs,0.00615800000377930006889570790918,0.02899980545043940108329572069579,0.48536829587145802200609523424646,0.48536829587145802200609523424646,False,True,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,
no_structure,0.01151179999578740009713584413475,0.02899980545043940108329572069579,,,True,True,1,1,8,8,,,,,,,,,,,,,,,,,,,,,,,,
heartfailure,0.01079479999316390083363703666919,0.01900005340576170140276524023193,,,True,True,1,1,305,305,-0.03236270308069239681758588744742,0.00892132637495232465318917292052,0.00724785432187970233425255983661,0.00063474257240410424715099102499,-0.03236270308069239681758588744742,0.00892132637495232465318917292052,0.00724785432187970233425255983661,0.00063474257240410424715099102499,,,,,,,,,,,,,,,,
cardiacarrest,0.01256410000496539954017993778734,0.01900005340576170140276524023193,,,False,False,2,1,74,76,,,,,,,,,-0.05119008224355577063580113872376,0.01275215698718291414126557725695,-0.04315601115914106250537329856343,0.00741755188986976260467898214301,,,,,,,,,,,,
neuroblastoma,0.00396090000867839985010387948705,0.00300002098083489978849747181755,,,True,True,1,1,20,20,,,,,,,,,,,,,-0.00114561749840314604405311360580,0.05334321252889138997854701074175,-0.00114561749840314604405311360580,0.05334321252889138997854701074175,,,,,,,,
sepsis,0.04177619999973099934598153026855,0.53299999237060546875000000000000,,,False,False,1,1,207,208,,,,,,,,,,,,,,,,,0.17019738520217350674634815277386,0.05487350171424133088438068739379,0.16893039938060472326952776711551,0.05431875720377340316380454510181,,,,
type1diabetes,0.00261559999489689980894935317224,0.00000000000000000000000000000000,,,True,True,1,1,52,52,,,,,,,,,,,,,,,,,,,,,0.13694858666268017177714000354172,0.08693812504756739945044330397650,0.13694858666268017177714000354172,0.08693812504756739945044330397650
