dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_n_clusters,julia_n_clusters,python_n_noise,julia_n_noise,python_death_ari,python_death_nmi,python_hospitalized_ari,python_hospitalized_nmi,julia_death_ari,julia_death_nmi,julia_hospitalized_ari,julia_hospitalized_nmi,python_exitus_ari,python_exitus_nmi,julia_exitus_ari,julia_exitus_nmi,python_outcome_ari,python_outcome_nmi,julia_outcome_ari,julia_outcome_nmi,python_mortality_ari,python_mortality_nmi,julia_mortality_ari,julia_mortality_nmi,python_insulin_regimen_ari,python_insulin_regimen_nmi,julia_insulin_regimen_ari,julia_insulin_regimen_nmi
circles,0.01413840000168420027448767939404,5.53400015830993652343750000000000,-0.01281397935054526607268066129564,-0.01281397935054526607268066129564,False,True,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
moons,0.01072939998994110015473335550951,0.02999997138977050087360609609277,0.53469983604387483211439757724293,0.53469983604387483211439757724293,True,True,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
varied,0.00916630000574509933020106444701,0.02500009536743159899163657655663,0.07704437304158485988470062011402,0.07704437304158485988470062011402,False,True,3,3,45,45,,,,,,,,,,,,,,,,,,,,,,,,
aniso,0.01188379999075550065568140922778,0.02600002288818350007493229725242,0.15391949200870050362688346012874,0.15341799335540876048078473559144,False,False,9,9,47,46,,,,,,,,,,,,,,,,,,,,,,,,
blobs,0.01011270000890360058753980609936,0.02600002288818350007493229725242,0.48536829587145802200609523424646,0.48536829587145802200609523424646,False,True,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,
no_structure,0.00841290000244039951060592841259,0.07899999618530270661942438437109,0.16564332527374309167456090108317,0.15952743233918448284569535644550,False,False,31,29,95,106,,,,,,,,,,,,,,,,,,,,,,,,
heartfailure,0.01090009999461469952786174530956,0.01699995994567870052915914413916,0.01096565716568396499364101970286,0.01087695782801635299708031823229,False,False,11,11,160,160,-0.01338954573135578071663154275939,0.01592248842673050363005771146163,0.01603707420833279037597485228162,0.02044403858417959476967418197546,-0.01334369481947694259516001835664,0.01555720864188990353038644087746,0.01607338333196656199319818369986,0.02065226236916208046867637904143,,,,,,,,,,,,,,,,
cardiacarrest,0.00749769998947150042439835360142,0.01900005340576170140276524023193,0.23465735224618397558593585472408,0.23465735224618400334151147035300,False,True,24,24,59,59,,,,,,,,,-0.00221365980890725431301513381754,0.03510401930069242948384555802477,-0.00221365980890725431301513381754,0.03510401930069243642273946193200,,,,,,,,,,,,
neuroblastoma,0.00277679999999229983748127992271,0.00300002098083489978849747181755,0.04061899444396713243499164036621,0.04061899444396713243499164036621,True,True,7,7,46,46,,,,,,,,,,,,,0.02047935192472274262831533064855,0.06060462269747293739818871927127,0.02047935192472274262831533064855,0.06060462269747293739818871927127,,,,,,,,
sepsis,0.04921480000484729916410131522753,0.22300004959106439761384876874217,-0.10985115519609414680424208654586,-0.10985115519609414680424208654586,False,True,6,6,427,427,,,,,,,,,,,,,,,,,0.00044923062543245577795184009240,0.07642252902322417551506106292436,0.00044923062543245577795184009240,0.07642252902322420327063667855327,,,,
type1diabetes,0.00280460000794840015950204481499,0.00000000000000000000000000000000,0.14198316456590864831355247588363,0.14198316456590864831355247588363,False,True,2,2,10,10,,,,,,,,,,,,,,,,,,,,,-0.02521142885280612533360766747137,0.10491360807928440390668356485548,-0.02521142885280612533360766747137,0.10491360807928440390668356485548
