dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_n_clusters,julia_n_clusters,python_n_noise,julia_n_noise,python_death_ari,python_death_nmi,python_hospitalized_ari,python_hospitalized_nmi,julia_death_ari,julia_death_nmi,julia_hospitalized_ari,julia_hospitalized_nmi,python_exitus_ari,python_exitus_nmi,julia_exitus_ari,julia_exitus_nmi,python_outcome_ari,python_outcome_nmi,julia_outcome_ari,julia_outcome_nmi,python_mortality_ari,python_mortality_nmi,julia_mortality_ari,julia_mortality_nmi,python_insulin_regimen_ari,python_insulin_regimen_nmi,julia_insulin_regimen_ari,julia_insulin_regimen_nmi
circles,0.01499809999950229948140201230444,5.59500002861022949218750000000000,0.05010761764354067920868018859437,0.05010761764354067920868018859437,False,True,20,20,40,40,,,,,,,,,,,,,,,,,,,,,,,,
moons,0.00867380000272529975979818317455,0.02699995040893549830274267264940,0.53469983604387483211439757724293,0.53469983604387483211439757724293,True,True,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
varied,0.00847960000101010032136361616040,0.02900004386901849917634876874217,0.23939465673765983333431961455062,0.23939465673765986108989523017954,False,True,13,13,75,75,,,,,,,,,,,,,,,,,,,,,,,,
aniso,0.00906119999854120006244073692869,0.09400010108947749742913657655663,0.12727854581703337832898625947564,0.12727854581703340608456187510455,False,True,37,37,117,117,,,,,,,,,,,,,,,,,,,,,,,,
blobs,0.00901840000005900074842024594091,0.02699995040893549830274267264940,0.23687213183402439087288371410978,0.23629523703086002806017518196313,False,False,25,25,89,90,,,,,,,,,,,,,,,,,,,,,,,,
no_structure,0.00802180000027869974377203732274,0.02799987792968750000000000000000,0.16601229186866400810984600866504,0.16601229186866400810984600866504,False,True,42,42,55,55,,,,,,,,,,,,,,,,,,,,,,,,
heartfailure,0.00610030000098040012940225906846,0.04200005531311030299024267264940,0.00717984527565423188283366684459,0.00717984527565423188283366684459,False,True,17,17,123,123,-0.01588162695428724235924278218590,0.02201832614699916756961783903535,0.01081229787939981534794497974872,0.02903125188718810520405178010606,-0.01588162695428724235924278218590,0.02201832614699916756961783903535,0.01081229787939981534794497974872,0.02903125188718810867349873205967,,,,,,,,,,,,,,,,
cardiacarrest,0.00690339999709969984881263727061,0.01999998092651359901661400897410,0.26519392559920051954946984551498,0.26519392559920051954946984551498,False,True,29,29,41,41,,,,,,,,,-0.00076119268457997186529129240995,0.04059116627775748858963922316434,-0.00076119268457997186529129240995,0.04059116627775748858963922316434,,,,,,,,,,,,
neuroblastoma,0.00303500000154590006407051561155,0.00300002098083489978849747181755,0.06435338042224326982054805057487,0.06123068802007256700159487650126,False,False,12,12,57,54,,,,,,,,,,,,,0.00502661491867339993433461131644,0.06916570429510422723939910838453,0.00477505781516130833191935423088,0.06790079647588381783762656596082,,,,,,,,
sepsis,0.02865480000036759941628439207761,0.24900007247924799136384876874217,-0.12466378264850121182494291360854,-0.12466378264850121182494291360854,True,True,18,18,392,392,,,,,,,,,,,,,,,,,0.00613227715950448101778214038404,0.08122251900354297837747452604162,0.00613227715950448101778214038404,0.08122251900354297837747452604162,,,,
type1diabetes,0.00186170000233680001111569168870,0.00000000000000000000000000000000,0.07156073802950455031712806430733,0.07156073802950455031712806430733,False,True,2,2,3,3,,,,,,,,,,,,,,,,,,,,,0.00382025526026415597827257109032,0.11634156831161739098501328726343,0.00382025526026415597827257109032,0.11634156831161737710722547944897
