dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_n_clusters,julia_n_clusters,python_n_noise,julia_n_noise,python_death_ari,python_death_nmi,python_hospitalized_ari,python_hospitalized_nmi,julia_death_ari,julia_death_nmi,julia_hospitalized_ari,julia_hospitalized_nmi,python_exitus_ari,python_exitus_nmi,julia_exitus_ari,julia_exitus_nmi,python_outcome_ari,python_outcome_nmi,julia_outcome_ari,julia_outcome_nmi,python_mortality_ari,python_mortality_nmi,julia_mortality_ari,julia_mortality_nmi,python_insulin_regimen_ari,python_insulin_regimen_nmi,julia_insulin_regimen_ari,julia_insulin_regimen_nmi
circles,0.01972739999473559907583464223535,1.04600000381469726562500000000000,-0.01281397935054526607268066129564,-0.01281397935054526607268066129564,True,True,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
moons,0.01440709999587850079216799770165,0.00699996948242180040689053299729,0.53469983604387483211439757724293,0.53469983604387483211439757724293,True,True,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
varied,0.00811589999648269951049162074241,0.00499987602233880040064617489293,0.38494757028565967926780899688310,0.38684707010997987364220307426876,False,False,3,3,59,59,,,,,,,,,,,,,,,,,,,,,,,,
aniso,0.01041069999337189931620795135814,0.00600004196166990019095655028991,0.29189396011731505442554635010310,0.29189396011731505442554635010310,True,True,3,3,9,9,,,,,,,,,,,,,,,,,,,,,,,,
blobs,0.00947550000273619970336813622680,0.00499987602233880040064617489293,0.48414911752921407916971929807914,0.48414911752921407916971929807914,True,True,2,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,
no_structure,0.01111890000174750071926244032738,0.00500011444091790022842269891612,0.18096457063320900426894866086514,0.18073552990721608590973801256041,False,False,11,11,185,187,,,,,,,,,,,,,,,,,,,,,,,,
heartfailure,0.00999489999958310011696216434984,1.10599994659423850329460492503131,0.00109411071806156520377917296116,0.00109411071806156520377917296116,True,True,2,2,380,380,-0.06187440131691656491907949089182,0.02538913894825042469327591732053,0.05000184763195171522287552079433,0.01192634310060640065453974045795,-0.06187440131691656491907949089182,0.02538913894825042469327591732053,0.05000184763195171522287552079433,0.01192634310060640065453974045795,,,,,,,,,,,,,,,,
cardiacarrest,0.00872890000755430044143690082592,0.81699991226196289062500000000000,0.01712849325439190148467893948236,0.10439034482698161809821613132954,False,False,5,4,260,309,,,,,,,,,0.03883547044080078169958625267100,0.01316583813520367206295613726752,0.00882723578394641050781643798473,0.00807000486265264244112316305291,,,,,,,,,,,,
neuroblastoma,0.00369969999883320004724351903747,0.00099992752075189999909354821028,,,True,True,0,0,169,169,,,,,,,,,,,,,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,,,,,,,,
sepsis,0.05953709999448619782924652099609,1.09899997711181640625000000000000,-0.38929016363664409317024706069787,-0.38929016363664409317024706069787,True,True,2,2,15,15,,,,,,,,,,,,,,,,,0.14825105855441123026139393914491,0.06089461682480760279512210786379,0.14825105855441123026139393914491,0.06089461682480760279512210786379,,,,
type1diabetes,0.00197250000201159994897559535332,1.02600002288818359375000000000000,,,True,True,0,0,67,67,,,,,,,,,,,,,,,,,,,,,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000
