dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_n_clusters,julia_n_clusters,python_n_noise,julia_n_noise,python_death_ari,python_death_nmi,python_hospitalized_ari,python_hospitalized_nmi,julia_death_ari,julia_death_nmi,julia_hospitalized_ari,julia_hospitalized_nmi,python_exitus_ari,python_exitus_nmi,julia_exitus_ari,julia_exitus_nmi,python_outcome_ari,python_outcome_nmi,julia_outcome_ari,julia_outcome_nmi,python_mortality_ari,python_mortality_nmi,julia_mortality_ari,julia_mortality_nmi,python_insulin_regimen_ari,python_insulin_regimen_nmi,julia_insulin_regimen_ari,julia_insulin_regimen_nmi
circles,0.02393220001249569961476737489647,0.77399992942810058593750000000000,-0.01281397935054526607268066129564,-0.01281397935054526607268066129564,True,False,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
moons,0.00880359999428029921242355726463,0.00399994850158690018471219218554,0.53469983604387483211439757724293,0.53469983604387483211439757724293,True,False,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
varied,0.00592519999190690028340045003574,0.00600004196166990019095655028991,0.07704437304158485988470062011402,0.38684707010997987364220307426876,False,False,3,3,45,59,,,,,,,,,,,,,,,,,,,,,,,,
aniso,0.00634360000549339959202699290586,0.00699996948242180040689053299729,0.13115431510850070195850491927558,0.29189396011731505442554635010310,False,False,3,3,5,9,,,,,,,,,,,,,,,,,,,,,,,,
blobs,0.00692050000361630040374150141247,0.00399994850158690018471219218554,0.48536829587145802200609523424646,0.48414911752921407916971929807914,False,False,2,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,
no_structure,0.00711310000042430015665395615088,0.00300002098083489978849747181755,0.00406380699465236881751106778893,0.18073552990721608590973801256041,False,False,12,11,114,187,,,,,,,,,,,,,,,,,,,,,,,,
heartfailure,0.00669019999622830034702314350170,0.78999996185302734375000000000000,-0.03910908152982375124429026413964,0.00109411071806156520377917296116,False,False,2,2,350,380,-0.05854780740311551351373609008988,0.02259232853709242441753168861851,0.07002137211925277271440393178636,0.01902494472076362783119485300176,-0.06187440131691656491907949089182,0.02538913894825042469327591732053,0.05000184763195171522287552079433,0.01192634310060640065453974045795,,,,,,,,,,,,,,,,
cardiacarrest,0.00566329999128349984016672635789,0.60199999809265136718750000000000,0.10001826061514559884635389153118,0.10439034482698161809821613132954,False,False,5,4,268,309,,,,,,,,,0.05117742237680182604275813673667,0.01581958261411794963713361994451,0.00882723578394641050781643798473,0.00807000486265264244112316305291,,,,,,,,,,,,
neuroblastoma,0.00237539999943689981998229399096,0.00300002098083489978849747181755,,,True,True,0,0,169,169,,,,,,,,,,,,,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,,,,,,,,
sepsis,0.04185539999161839996855150047850,0.66699981689453125000000000000000,-0.52244523230277295500201262257178,-0.38929016363664409317024706069787,False,False,2,2,10,15,,,,,,,,,,,,,,,,,0.14457349279540657183140694996837,0.06477159268750211362775104362299,0.14825105855441123026139393914491,0.06089461682480760279512210786379,,,,
type1diabetes,0.00145779999729710001143967446069,0.63699984550476074218750000000000,,,True,True,0,0,67,67,,,,,,,,,,,,,,,,,,,,,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000
