dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_clusters,julia_clusters,python_noise,julia_noise
circles,0.00767293000244529972003748596876,0.01404999494552609980158042191078,0.99999999999978128606414884416154,0.99999999999978128606414884416154,True,True,1,1,0,0
moons,0.00504670000082109958261522564271,0.00460000038146970036817551275021,,,True,True,0,0,500,500
varied,0.00552348999917740002274513244629,0.00495001077651969958320909981353,,,True,True,0,0,500,500
aniso,0.00522290000226340034306105053474,0.43389999866485590152009876874217,,,True,True,0,0,500,500
blobs,0.00610958000470409982873842835716,0.00500000715255730001501666137642,,,True,True,0,0,500,500
no_structure,0.00506990500143719973608069651050,0.00520000457763670001498645945048,,,True,True,0,0,500,500
heartfailure,0.00686851999926140020097387051123,0.05160000324249260084119583780193,,,True,True,0,0,425,425
cardiacarrest,0.00934325999987769932608738798763,0.03799999952316279738795401499374,,,True,True,0,0,422,422
neuroblastoma,0.00325601999793430005314398556493,0.03399999141693110099593511108651,,,True,True,0,0,169,169
sepsis,0.05294042500026979736205134940974,0.08320000171661369459119583780193,,,True,True,0,0,1257,1257
type1diabetes,0.00177953999809679999123679383644,0.03450000286102290064649267264940,,,True,True,0,0,67,67
