dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_clusters,julia_clusters,python_noise,julia_noise
circles,0.01111020000098499917184913243773,0.00869998931884759935106998796073,,,True,True,0,0,500,500
moons,0.00995551000523840073919146220760,0.01500000953674309953078669366278,0.49318648232468431658048757526558,0.49318648232468431658048757526558,True,True,2,2,74,74
varied,0.01068961500714060014471940007752,0.00870000123977660022589475374843,,,True,True,0,0,500,500
aniso,0.01043571499612879968643674999385,0.49014999866485597923571049250313,,,True,True,0,0,500,500
blobs,0.01114890500030010084264731062831,0.00874999761581420065770231531133,,,True,True,0,0,500,500
no_structure,0.01079965999815610082357419940990,0.00950000286102289925871389186796,,,True,True,0,0,500,500
heartfailure,0.01230403999652479943294203224013,0.07074999809265129779856096092772,,,True,True,0,0,425,425
cardiacarrest,0.01012889499979790011718883135927,0.04670000076293939761384876874217,,,True,True,0,0,422,422
neuroblastoma,0.00388816999475229997662584224827,0.04465000629425040085118681076892,,,True,True,0,0,169,169
sepsis,0.05766500499594250095380942866541,0.10394999980926510063650169968241,,,True,True,0,0,1257,1257
type1diabetes,0.00207672500400799984673905207444,0.04674999713897699804565633030506,,,True,True,0,0,67,67
