dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_clusters,julia_clusters,python_noise,julia_noise,experiment,min_cluster_size,min_samples,alpha,cluster_selection_method,dbcv_difference,fit_time_difference
circles,0.01401569999870840022015983095116,0.00396339999999999973573361344847,0.74855746322142391324661048201961,0.74855746322142391324661048201961,True,True,2,2,0,0,baseline-15-5,15,5,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.01005229999870840135178795549109
moons,0.00657289999799099983884831388536,0.00361979999999999984064413816043,0.90199760167693954215906160243321,0.90199760167693954215906160243321,True,True,2,2,0,0,baseline-15-5,15,5,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00295309999799099999820417572494
varied,0.00568909999856249959382381575779,0.00431319999999999967310593262937,0.51902194981541183160800301266136,0.52110137849083537631145190971438,False,False,3,3,59,59,baseline-15-5,15,5,1.00000000000000000000000000000000,eom,0.00207942867542354470344889705302,-0.00137589999856249992071788312842
aniso,0.00634039999931699984475619302771,3.26036739999999980454958858899772,0.64233030834608573211852444728720,0.64233030834608573211852444728720,True,True,3,3,9,9,baseline-15-5,15,5,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,3.25402700000068278995968285016716
blobs,0.00626619999820829994691129272155,0.00351909999999999983238962997234,0.85912907350495759661868078183034,0.85912907350495759661868078183034,True,True,2,2,5,5,baseline-15-5,15,5,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00274709999820830011452166274921
no_structure,0.00647100000060159968873207958495,0.00339669999999999989298560265638,0.28389133639150621046809419567580,0.25853413179412521039068906247849,False,False,11,11,185,187,baseline-15-5,15,5,1.00000000000000000000000000000000,eom,-0.02535720459738100007740513319732,-0.00307430000060159979574647692857
heartfailure,0.00719770000068819994915036986072,0.85347939999999999916013848633156,0.53118074611338506052504726540064,0.70252379334565162594117282424122,False,False,4,4,26,26,baseline-15-5,15,5,1.00000000000000000000000000000000,eom,0.17134304723226656541612555884058,0.84628169999931179834362637848244
cardiacarrest,0.00729239999782289958357717196691,0.56561660000000002490594397386303,,,False,False,3,2,226,293,baseline-15-5,15,5,1.00000000000000000000000000000000,eom,,0.55832420000217708455636511644116
neuroblastoma,0.00223270000060429981911247487858,0.61768900000000004357758598416694,0.17751169219933338183636806206778,0.18362419703191529274377558067499,False,False,2,2,102,99,baseline-15-5,15,5,1.00000000000000000000000000000000,eom,0.00611250483258191090740751860722,0.61545629999939577281509173189988
sepsis,0.03202909999890830167190713950731,0.64035940000000002303437440787093,0.08886291636319981757097252739186,0.08869171384579023487138016434983,False,False,4,4,922,923,baseline-15-5,15,5,1.00000000000000000000000000000000,eom,-0.00017120251740958269959236304203,0.60833030000109167279020994101302
type1diabetes,0.00208950000160250002820272463566,1.22538309999999994737152064772090,,,True,True,0,0,67,67,baseline-15-5,15,5,1.00000000000000000000000000000000,eom,,1.22329359999839737405125106306514
circles,0.01131370000075540040163080135471,0.00368160000000000015019097077129,0.74855746322142391324661048201961,0.74855746322142391324661048201961,True,True,2,2,0,0,baseline-10-5,10,5,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00763210000075540025143983058342
moons,0.00965179999911919966892881461717,0.00386680000000000009818812429785,0.90199760167693954215906160243321,0.90199760167693954215906160243321,True,True,2,2,0,0,baseline-10-5,10,5,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00578499999911919957074069031933
varied,0.00812700000096809940797193405615,0.00416709999999999997077892999187,0.51902194981541183160800301266136,0.52110137849083537631145190971438,False,False,3,3,59,59,baseline-10-5,10,5,1.00000000000000000000000000000000,eom,0.00207942867542354470344889705302,-0.00395990000096809943719300406428
aniso,0.00919760000033419990173033653491,3.99450620000000000686668499838561,0.64233030834608573211852444728720,0.64233030834608573211852444728720,True,False,3,3,9,9,baseline-10-5,10,5,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,3.98530859999966580176078423392028
blobs,0.00628969999888789963599089460899,0.00364489999999999996285748871117,0.85912907350495759661868078183034,0.85912907350495759661868078183034,True,True,2,2,5,5,baseline-10-5,10,5,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00264479999888789967313340589783
no_structure,0.00706890000219569970829613936303,0.00450639999999999981555864891902,0.23791354043779544547021487232996,0.25275450499972473838994346806430,False,False,13,13,177,178,baseline-10-5,10,5,1.00000000000000000000000000000000,eom,0.01484096456192929291972859573434,-0.00256250000219569989273749044401
heartfailure,0.00664289999986060041708979539976,0.83689599999999997326227685334743,0.54298074796820772203176375114708,0.60962213495010930675022109426209,False,False,5,5,49,50,baseline-10-5,10,5,1.00000000000000000000000000000000,eom,0.06664138698190158471845734311501,0.83025310000013941014174179144902
cardiacarrest,0.00556749999668679999148546144738,0.56157800000000002160760459446465,,,False,False,2,2,121,115,baseline-10-5,10,5,1.00000000000000000000000000000000,eom,,0.55601050000331320166679915928398
neuroblastoma,0.00253960000190999986638407115436,0.61212679999999997093595993646886,,,False,False,4,4,94,90,baseline-10-5,10,5,1.00000000000000000000000000000000,eom,,0.60958719999808996803380978235509
sepsis,0.03141170000162669950771743287987,0.67260120000000001017070871967007,0.28598648238818707989494782850670,0.12191539842450646591309748600906,False,False,2,2,282,282,baseline-10-5,10,5,1.00000000000000000000000000000000,eom,-0.16407108396368061398185034249764,0.64118949999837326902962786334683
type1diabetes,0.00170259999867990001465312133178,1.32460529999999998551629687426612,,,True,True,0,0,67,67,baseline-10-5,10,5,1.00000000000000000000000000000000,eom,,1.32290270000132004213355685351416
circles,0.00856460000068180044019428009960,0.01605519999999999863904420749350,0.74855746322142391324661048201961,0.74855746322142391324661048201961,True,True,2,2,0,0,baseline-25-15,25,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,0.00749059999931819819884992739389
moons,0.00622020000082549977260537588108,0.00370550000000000002639555241046,0.90199760167693954215906160243321,0.90199760167693954215906160243321,True,True,2,2,0,0,baseline-25-15,25,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00251470000082549974620982347062
varied,0.00678479999987749958501037639280,0.00416180000000000022142288003124,0.76673462955892202064234197678161,0.76498683860725003036407088075066,False,False,3,3,79,80,baseline-25-15,25,15,1.00000000000000000000000000000000,eom,-0.00174779095167199027827109603095,-0.00262299999987749936358749636156
aniso,0.00554940000074560010195900972008,3.19835730000000006967297849769238,0.71737816707320767317668241958017,0.71918887825230770616258269001264,False,False,3,3,59,58,baseline-25-15,25,15,1.00000000000000000000000000000000,eom,0.00181071117910003298590027043247,3.19280789999925440625361261481885
blobs,0.00575430000026239986399279047191,0.00437810000000000022063462168376,0.84734843434536855077965356031200,0.84734843434536855077965356031200,True,True,2,2,12,12,baseline-25-15,25,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00137620000026239964335816878815
no_structure,0.00576839999848739997528879186461,0.00387149999999999994138022429979,0.30725975372021785414489158938522,0.31425601985629025847401862847619,False,False,3,3,283,284,baseline-25-15,25,15,1.00000000000000000000000000000000,eom,0.00699626613607240432912703909096,-0.00189689999848740003390856756482
heartfailure,0.00765520000277310035119437969797,0.83551860000000000017195134205394,0.59241160138163240223008187967935,0.66205406200715344322560440559755,False,False,3,3,64,65,baseline-25-15,25,15,1.00000000000000000000000000000000,eom,0.06964246062552104099552252591820,0.82786339999722691196382129419362
cardiacarrest,0.00724730000001719970592617414695,1.18178289999999996950919012306258,,,False,False,2,0,309,422,baseline-25-15,25,15,1.00000000000000000000000000000000,eom,,1.17453559999998269347543100593612
neuroblastoma,0.00297359999967730008821331644242,0.58542000000000005144329406903125,,,True,True,2,2,83,83,baseline-25-15,25,15,1.00000000000000000000000000000000,eom,,0.58244640000032277260544333330472
sepsis,0.03407630000219789845328222099852,0.75485519999999994844586126419017,0.05298384393064402980710880797233,0.05298384393064402980710880797233,True,True,2,2,1033,1033,baseline-25-15,25,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,0.72077889999780209162594246663502
type1diabetes,0.00157219999891819992889063772878,0.63207800000000002871303195206565,,,True,True,0,0,67,67,baseline-25-15,25,15,1.00000000000000000000000000000000,eom,,0.63050580000108180644957656113547
circles,0.00648979999823490021071403788255,0.00659769999999999974538145153247,,,True,True,0,0,500,500,baseline-100-25,100,25,1.00000000000000000000000000000000,eom,,0.00010790000176509953466741364991
moons,0.00610660000165800034843677224217,0.00821999999999999987621013275430,0.90033826226232460676612845418276,0.90033826226232460676612845418276,True,True,2,2,1,1,baseline-100-25,100,25,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,0.00211339999834199952777336051213
