dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_clusters,julia_clusters,python_noise,julia_noise,experiment,min_cluster_size,min_samples,alpha,cluster_selection_method,dbcv_difference,fit_time_difference
circles,0.01121041999722359981672692441634,0.00652574229765010005444025864563,0.74855746322142391324661048201961,0.74855746322142391324661048201961,True,True,2,2,0,0,baseline-15-5,10,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00468467769957349976228666577072
moons,0.01202049999556029959146830066175,0.00423843613231549964232014460208,0.90199760167693954215906160243321,0.90199760167693954215906160243321,True,True,2,2,0,0,baseline-15-5,10,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00778206386324479994914815605966
varied,0.00988786999660070005380152480257,0.00441554606542879975877857745559,0.76673462955892202064234197678161,0.76673462955892202064234197678161,True,True,3,3,79,79,baseline-15-5,10,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00547232393117190029502294734698
aniso,0.01072952999384139960437067884413,0.00437560218914179958199506259575,0.71737816707320767317668241958017,0.71737816707320767317668241958017,True,True,3,3,59,59,baseline-15-5,10,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00635392780469960002237561624838
blobs,0.01079954000306309995493858622240,0.00429847685025809989750600337288,0.84734843434536855077965356031200,0.84734843434536855077965356031200,True,True,2,2,12,12,baseline-15-5,10,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00650106315280500005743258284951
no_structure,0.01209448000008699931895339574339,0.00434317660311950032997474480112,0.36313992502237063542125383719394,0.36239594139324071697672025038628,False,False,8,8,269,267,baseline-15-5,10,15,1.00000000000000000000000000000000,eom,-0.00074398362912991844453358680767,-0.00775130339696749898897865094227
heartfailure,0.01235583999950900027653410973016,0.00555421844444440020865938478778,0.60419912106377826610525971773313,0.60419912106377826610525971773313,True,True,4,4,52,52,baseline-15-5,10,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00680162155506460006787472494239
cardiacarrest,0.00950881000608200070700615214037,0.00456717128532359989412370282480,,,True,True,2,2,309,309,baseline-15-5,10,15,1.00000000000000000000000000000000,eom,,-0.00494163872075840081288244931557
neuroblastoma,0.00556935000349759960075468612217,0.00107855529894230008948474708319,,,True,True,3,3,69,69,baseline-15-5,10,15,1.00000000000000000000000000000000,eom,,-0.00449079470455529972811037353608
sepsis,0.05544475000351659771391510389549,0.03314639536423839849543782065666,0.29163750608144273224198173011246,0.29163750608144273224198173011246,True,True,2,2,590,590,baseline-15-5,10,15,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.02229835463927819921847728323883
type1diabetes,0.00238262999628199986443255475876,0.00041590004999999998901855091660,,,True,True,0,0,67,67,baseline-15-5,10,15,1.00000000000000000000000000000000,eom,,-0.00196672994628199976699378659362
circles,0.01248327999492170048423389516756,0.00666920347593579973533017835052,0.74855746322142391324661048201961,0.74855746322142391324661048201961,True,True,2,2,0,0,baseline-10-5,10,5,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00581407651898590074890371681704
moons,0.01168192000477570081928835321605,0.00654864993446920007347245018536,0.90199760167693954215906160243321,0.90199760167693954215906160243321,True,True,2,2,0,0,baseline-10-5,10,5,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00513327007030650074581590303069
varied,0.01000015999889000001266126105293,0.00670130374832659993916683660586,0.51902194981541183160800301266136,0.51902194981541183160800301266136,True,True,3,3,59,59,baseline-10-5,10,5,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00329885625056340007349442444706
aniso,0.01123862000822549965517449521712,0.00658641406044670023323117646896,0.64233030834608573211852444728720,0.64233030834608573211852444728720,True,True,3,3,9,9,baseline-10-5,10,5,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00465220594777879942194331874816
